# Id	FilePath			R	G	B
[TEXTURES]
40	Resources/Enemy/enemies.png	255	0	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#map
1000	0	0	512	120	2	
##==============ENEMY===================
#con rết x3
4001	168	411	186	421	40
4002	187	411	204	421	40
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
#map
100	1000	100
# =============== ENEMIES==============
#centipede
800	4001	100	4002	100
# id	ani1	ani2	ani3
# id tuan theo define
[ANIMATION_SETS]
#map
30	100
#=== ENEMIES =====
# CENTIPENDE
10	800	
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 1 = Brick, 2 = Torch, 3 = Gate, 4 = Stairs
#Brick
1	0	157	22
1	10	157	22
1	25	157	22
1	40	157	22
1	55	157	22
1	70	157	22
1	85	157	22
1	100	157	22
1	115	157	22
1	130	157	22
1	145	157	22
1	160	157	22
1	175	157	22
1	190	157	22
1	205	157	22
1	220	157	22
1	235	157	22
1	250	157	22
1	265	157	22
1	280	157	22
1	300	157	22
##
1	385	157	22
1	400	157	22
1	415	157	22
1	430	157	22
1	445	157	22
1	460	157	22
1	475	157	22
1	490	157	22
1	495	157	22
##
1	570	157	22
1	585	157	22
1	600	157	22
1	615	157	22
1	630	157	22
1	645	157	22
1	660	157	22
1	675	157	22
1	690	157	22
#
#Gate
2	730	50	2	100	150	0	1
#==========Enemies===============
#rết 3 cục
10	265	150	10
