[CLEARTEXTURES]
22	
[CLEARSPRITES]
108
109
[CLEARANIMATIONS]
78
[CLEARANIMATIONSETS]
22

# Id	FilePath			R	G	B
[TEXTURES]
4	Resources/Weapons/Boomerang.png	255	0	255
5	Resources/Weapons/Axe.png	255	0	255
6	Resources/Weapons/WaterPotion.png	255	0	255
-10	Resources/Weapons/Pokeball.png	116	116	116

21	Resources/Objects/Ground.png	255	0	255
23	Resources/Objects/Candle.png	255	0	255
24	Resources/Objects/MovingPlatform.png	116	116	116
25	Resources/Objects/Stair.png	255	0	255

40	Resources/Items/SmallHeart.png	255	0	255
42	Resources/Items/YummiChickenLeg.png	255	0	255
43	Resources/Items/MoneyBags.png	255	0	255
48	Resources/Items/CrystalBall.png	255	0	255
49	Resources/Items/InviPotion.png	255	0	255
51	Resources/Items/StopWatch.png	255	0	255
52	Resources/Items/Cross.png	255	0	255
53	Resources/Items/Crown.png	255	0	255
54	Resources/Items/ExtraShot.png	255	0	255
55	Resources/Items/Boomerang.png	255	0	255
56	Resources/Items/Axe.png	255	0	255
57	Resources/Items/WaterPotion.png	255	0	255
-9	Resources/Items/Pokeball.png	116	116	116

72	Resources/Effects/BrickExplode.png	255	0	255
73	Resources/Effects/Score.png	255	0	255

82	Resources/Enemies/DarkenBat.png	255	0	255
83	Resources/Enemies/Knight.png	116	116	116

# id	left	top	right	bottom	texture_id
[SPRITES]
# Boomerang
63	0	0	28	28	4
64	28	0	56	28	4
65	56	0	84	28	4

# Axe
66	0	0	30	28	5
67	30	0	60	28	5
68	60	0	90	28	5
69	90	0	120	28	5

# WaterPotion
70	0	0	32	26	6
71	32	0	64	26	6
72	64	0	96	26	6
73	96	0	128	26	6

# Pokeball
450	0	0	24	29	-10
451	24	0	48	29	-10
452	48	0	72	29	-10
453	72	0	96	29	-10
454	96	0	120	29	-10
455	120	0	144	29	-10
456	144	0	168	29	-10
457	168	0	192	29	-10
458	192	0	216	29	-10
459	216	0	240	29	-10
460	240	0	264	29	-10

# Item Pokeball
461	0	0	22	22	-9

# BreakableBrick
104	0	0	32	32	21
105	32	0	64	32	21
106	64	0	96	32	21
107	96	0	128	32	21

# Candle 
110	0	0	16	32	23
111	16	0	32	32	23

# MovingFlatform
112	0	0	64	16	24

# Stairs
113	0	0	32	32	25
114	32	0	64	32	25

# Small Heart
130	0	0	16	16	40

# Chicken
132	0	0	32	26	42

# MoneyBags
133	0	0	30	30	43
134	30	0	60	30	43
135	60	0	90	30	43

# CrystalBall
137	0	0	28	32	48
138	28	0	56	32	48

# InviPot
139	0	0	30	37	49

# StopWatch
141	0	0	30	32	51

# Cross
142	0	0	32	32	52

# Crown
143	0	0	32	32	53
144	32	0	64	32	53

# ItemExtraShot
145	0	0	32	32	54
146	32	0	64	32	54

# ItemBoomerang
